36,49 7,49 1
36,42 3,13 21

36,49 7,49 1
31,4 6,09 220

57,06 9,51 2
55,44 9,09 75

57,06 9,51 2
59,54 10,37 184

30,22 48,14 3
29,13 47,58 253

30,22 48,14 3
29,33 52,36 468

5,15 -3,56 4
5,36 -0,1 8

5,15 -3,56 4
13,29 2,1 349

34,59 -106,37 5
35,14 -101,42 23

34,59 -106,37 5
31,48 -106,16 173

57,12 -2,12 6
55,02 -1,41 344

57,12 -2,12 6
58,53 5,38 462

16,45 -99,45 7
14,34 -90,32 211

16,45 -99,45 7
19,26 -99,04 309

5,36 -0,1 8
6,1 1,15 267

28,56 -13,36 9
28,27 -13,52 195

28,56 -13,36 9
27,56 -15,23 282

8,59 38,48 10
9,21 34,31 52

8,59 38,48 10
7,09 41,43 204

12,5 45,02 11
11,33 43,1 236

12,5 45,02 11
15,29 44,13 423

-34,48 138,38 12
-28,02 145,37 123

-34,48 138,38 12
-37,41 144,51 308

30,23 -9,33 13
28,27 -13,52 195

30,23 -9,33 13
31,37 -8,03 402

56,18 12,51 14
55,44 9,09 75

56,18 12,51 14
55,33 13,22 320

36,4 -4,3 15
37,11 -3,47 208

36,4 -4,3 15
37,26 -5,54 464

40,38 8,17 16
41,55 8,48 18

40,38 8,17 16
39,15 9,04 101

35,11 -3,5 17
36,51 -2,22 264

35,11 -3,5 17
35,43 -5,55 485

41,55 8,48 18
42,31 8,48 122

-37,01 174,47 19
-17,45 177,27 339

-37,01 174,47 19
-33,56 151,1 467

38,17 -0,34 20
35,38 -0,37 368

38,17 -0,34 20
39,29 -0,29 510

36,42 3,13 21
35,38 -0,37 368

36,11 37,14 22
40,07 33 176

36,11 37,14 22
35,09 36,17 348

35,14 -101,42 23
35,48 -101,22 59

31,58 35,59 24
29,38 35,01 31

31,58 35,59 24
32,01 34,53 482

52,18 4,46 25
52,41 1,17 356

52,18 4,46 25
51,57 4,26 419

61,1 -149,59 26
64,49 -147,51 181

61,1 -149,59 26
21,2 -157,55 222

39,57 32,41 27
36,55 30,48 40

39,57 32,41 27
40,07 33 176

51,11 4,28 28
51,27 5,23 172

51,11 4,28 28
51,57 4,26 419

17,08 -61,47 29
16,16 -61,32 398

17,08 -61,47 29
18,26 -66,01 448

43,37 13,22 30
42,26 14,11 397

43,37 13,22 30
44,01 12,37 413

29,38 35,01 31
30,08 31,24 102

59,39 17,55 32
57,4 18,18 206

59,39 17,55 32
59,39 17,55 459

15,18 38,55 33
14,45 42,59 143

15,18 38,55 33
21,3 39,12 233

-25,14 -57,31 34
-25,44 -54,28 229

-25,14 -57,31 34
-29,43 -53,42 410

23,58 32,47 35
19,08 30,26 158

23,58 32,47 35
25,41 32,43 292

37,54 23,44 36
35,2 25,11 217

37,54 23,44 36
40,31 22,58 449

33,46 -84,31 37
33,34 -86,45 66

33,46 -84,31 37
35,54 -83,53 500

12,3 -70,01 38
12,12 -68,57 137

12,3 -70,01 38
10,34 -71,44 299

24,26 54,28 39
25,16 51,34 159

24,26 54,28 39
25,15 55,2 168

36,55 30,48 40
36,23 28,07 409

26,16 50,38 41
26,16 50,1 153

26,16 50,38 41
25,16 51,34 159

40,29 50,01 42
41,19 69,24 471

40,29 50,01 42
35,41 51,19 478

39,11 -76,4 43
39,52 -75,15 382

39,11 -76,4 43
40,3 -80,14 386

10,48 -74,52 44
10,27 -75,31 134

10,48 -74,52 44
10,34 -71,44 299

-16,11 -52,3 45
-15,52 -47,55 92

-16,11 -52,3 45
