-93 -86 229
-86 -79 71
Edges
-86 -79 71
-90 -68 31
Edges
-90 -68 31
-88 -61 205
Edges
-88 -61 205
-96 -36 221
Edges
-96 -36 221
-94 -30 129
Edges
-94 -30 129
-94 -20 130
Edges
-94 -20 130
-82 -14 49
Edges
-82 -14 49
-77 -16 12
Edges
-77 -16 12
-84 -29 61
Edges
-84 -29 61
-83 -30 90
Edges
-83 -30 90
-80 -31 211
Edges
-80 -31 211
-70 -19 133
Edges
-70 -19 133
-69 -19 5
Edges
-69 -19 5
-60 -20 262
Edges
-60 -20 262
-61 -26 79
Edges
-61 -26 79
-43 -30 72
Edges
-43 -30 72
-46 -26 185
Edges
-46 -26 185
-47 -26 19
Edges
-47 -26 19
-63 -14 191
Edges
-63 -14 191
-62 -2 30
Edges
-62 -2 30
-65 0 18
Edges
-65 0 18
-70 6 137
Edges
-70 6 137
-75 0 257
Edges
-75 0 257
-82 -3 124
Edges
-82 -3 124
-97 9 53
Edges
-97 9 53
-92 12 228
Edges
-92 12 228
-97 35 65
Edges
-97 35 65
-88 36 206
Edges
-88 36 206
-81 37 83
Edges
-81 37 83
-70 39 217
Edges
-70 39 217
-83 49 36
Edges
-83 49 36
-87 51 220
Edges
-87 51 220
-80 55 150
Edges
-80 55 150
-78 53 183
Edges
-78 53 183
-76 55 58
Edges
-76 55 58
-84 74 189
Edges
-84 74 189
-96 85 106
Edges
-96 85 106
-83 84 121
Edges
-83 84 121
-77 80 248
Edges
-77 80 248
-70 85 89
Edges
-70 85 89
-67 88 167
Edges
-67 88 167
-53 88 13
Edges
-53 88 13
-67 72 153
Edges
-67 72 153
-64 70 9
Edges
-64 70 9
-66 63 230
Edges
-66 63 230
-61 66 26
Edges
-61 66 26
-58 64 148
Edges
-58 64 148
-53 62 114
Edges
-53 62 114
-50 60 253
Edges
-50 60 253
-61 56 170
Edges
-61 56 170
-59 50 2
Edges
-59 50 2
-55 39 195
Edges
-55 39 195
-61 26 27
Edges
-61 26 27
-60 20 261
Edges
