35954   1,295
35953   1,6
35911   3,349
35904   5,804
35900   8,283
35897   190,771
35894   191,544
35891   192,322
35890   193,106
35885   194,573
35882   195,269
35881   242,927
35876   244,476
35873   245,2
35868   246,583
35865   247,231
35862   247,879
35859   248,545
35845   249,194
35842   307,924
35837   309,312
35830   309,969
35827   310,634
35826   840,315
35823   940,413
35820   941,138
35817   941,865
35812   944,601
35810   998,595
35807   999,264
35805   999,912
35803   1000,547
35801   1116,572
35798   1117,227
35795   1117,882
35778   1284,179
35775   1284,889
35772   1285,613
35771   1286,325
35769   1287,696
35766   1288,373
35765   1289,034
35755   1462,195
35746   1462,857
35743   1463,514
35742   1464,154
