7075   1,041
7062   2,791
7055   3,775
7046   6,072
7045   749,512
7043   750,512
7042   751,508
7040   753,362
7038   754,257
7036   755,152
7034   756,078
7033   756,958
7032   921,435
7031   922,41
7030   924,32
7028   925,216
7027   926,106
7026   927,011
7025   1002,701
7023   1003,604
7022   1004,496
7021   1170,356
7020   1171,255
7019   1172,192
7018   1337,23
7017   1338,155
7016   1339,079
7013   1505,155
7012   1506,352
7011   1508,709
7010   1509,837
7006   1512,014
7004   1513,056
7003   1514,095
7002   1515,144
7001   1517,122
6999   1518,112
6997   1519,05
6996   1519,985
6995   1520,905
6992   1521,822
