19815585   10,566
19815108   27,992
19814543   37,342
19806185   44,851
19802768   55,802
19793270   58,601
19763782   200,107
19735109   204,969
19731456   209,903
19731152   219,677
19730940   224,45
19730819   229,528
19730725   234,47
19730702   239,486
19730312   248,977
19729922   253,246
19729558   261,538
19729161   265,547
19728767   269,614
19728650   273,627
19728023   281,344
19727374   284,976
19726873   288,615
19726194   295,662
19725501   298,948
19725050   302,241
19724943   305,513
19724021   308,866
19723280   315,154
19722482   318,245
19721767   321,262
19720766   324,259
19720177   327,294
19717160   463,847
19716116   469,38
19711421   474,83
19711406   480,307
19710425   518,007
19709515   523,023
19708784   528,105
19708328   537,929
19707525   542,708
19706950   552,103
19705597   556,961
19704368   561,654
19703208   566,261
19702524   575,041
19701524   579,162
19701501   583,29
19700099   591,182
19698904   594,99
19698140   598,766
19697790   602,566
19697669   606,417
19696418   613,708
19695967   617,266
19695577   620,701
19695460   624,05
19692004   630,249
19691367   633,083
19690909   635,923
19690515   638,75
19689161   736,643
19675235   741,492
19674849   849,84
19674407   853,769
19672795   861,404
19671244   865,05
19669888   868,68
19669767   872,341
19669430   879,373
19669033   882,664
19668639   885,977
19668289   889,274
19668266   892,689
19667379   899,007
19666648   901,912
19666258   904,837
19665893   1139,889
19665256   1143,166
19664814   1146,492
19664420   1149,848
19664070   1153,143
19662153   1159,367
19661460   1162,238
19661002   1165,109
19660612   1168,034
19660400   1170,965
