19799454   4,04
19792630   11,248
19784187   28,288
19781812   32,775
19779585   49,953
19779059   518,877
19777739   523,127
19775888   531,242
19774017   535,162
19772302   539,111
19771185   543,023
19769005   546,924
19768426   551,095
19766651   555,521
19766604   560,12
19764803   568,103
19763166   571,865
19762155   575,58
19761116   579,269
19760999   582,997
19760914   586,709
19759230   593,994
19758836   597,451
19758499   600,939
19758269   604,383
19758172   607,843
19757525   614,267
19756962   617,289
19756504   620,296
19756107   623,189
19755810   626,106
19755465   1147,211
19754597   1150,032
19754261   1152,853
