19737657   4,161
19734229   44,348
19721723   47,09
19721431   116,644
19717868   120,847
19716480   545,546
19714929   549,515
19714904   553,936
19713214   562,287
19711789   566,092
19711668   569,786
19711574   573,59
19710059   580,822
19709646   584,26
19709256   587,721
19708959   591,169
19708912   594,642
19708322   601,37
19707759   604,534
19707258   607,705
19706871   610,825
19650420   919,548
19649525   1093,39
19648888   1097,665
19647427   1105,915
19645696   1109,877
19644087   1113,765
19642735   1117,724
19642341   1121,656
19641226   1129,322
19640768   1133,01
19640647   1136,693
19640553   1140,463
19638988   1147,518
19638598   1150,85
19638301   1154,151
19638103   1157,504
19637628   1163,868
19637065   1166,899
19636652   1169,872
19636409   1172,938
19636292   1175,954
19636035   1675,457
19635837   1679,065
19635743   1682,641
19634106   1689,512
19633693   1692,771
19633306   1696,031
19633063   1699,295
19632624   1705,514
19632023   1708,405
19631565   1711,317
19631268   1714,228
19631243   1717,146
