51020   2,783
50953   13,053
50945   17,022
50927   33,653
50915   39,307
50904   40,751
50889   101,974
50882   106,12
50879   108,099
50876   111,844
50872   113,645
50870   115,432
50869   117,237
50868   119,05
50864   122,543
50860   124,264
50859   125,938
50794   129,185
50786   130,739
50778   132,294
50772   133,86
50769   135,409
50761   139,494
50750   140,691
50741   141,892
50734   143,093
50728   250,846
50726   252,1
50725   253,351
50716   354,443
50702   355,894
50701   357,446
50700   358,929
50696   361,752
50690   363,157
50686   364,543
50674   367,117
50666   368,311
50663   369,515
50659   811,765
50657   813,186
50651   815,87
50648   817,168
50645   1155,46
50641   1156,756
50639   1158,051
50634   1159,356
50626   1160,67
50619   1279,455
50616   1280,781
