9257   2,149
9256   5,917
9255   323,645
9254   326,251
9249   328,888
9248   333,975
9246   336,382
9245   338,752
9244   341,131
9242   345,722
9241   347,909
9240   350,142
9239   352,345
9238   358,634
9237   360,702
9236   362,739
9235   366,601
9234   368,523
9233   370,358
9232   372,219
9231   374,133
9230   375,974
9229   540,962
9228   542,807
9227   693,112
9226   695,273
9225   697,458
9223   701,551
9221   703,465
9220   705,4
9219   707,371
9218   709,315
9217   713,054
9216   714,881
9215   716,646
9214   718,409
